Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8,Signal9,Signal10,Signal11,Signal12,Signal13,Signal14,Signal15,Signal16,Signal17,Signal18,Signal19,Signal20,Signal21,Signal22,Signal23,Signal24,Signal25,Signal26,Signal27,Signal28,Signal29,Signal30,Signal31,Signal32,Signal33,Signal34,Signal35,Signal36,Signal37,Signal38,Signal39,Signal40,Signal41,Signal42,Signal43,Signal44,Signal45,Signal46,Signal47,Signal48,Signal49,Signal50,Signal51,Signal52,Signal53,Signal54,Signal55,entity,timestamp
60.26771,39.368275,55.181328,1.1087205,13.268024,6.790437,70.8,8.138352,3.051882,305.48868,63.756973,40.497444,75.6,285.6,151.51447,56.569912,60.00322,301.8,295.7,37.81567,53.9,5.0525603,111.44045,9.477789,65.6,10.715497,63.702602,-18.265049,154.98589,307.4,16.887081,10.452696,114.38163,295.2,60.50965,57.10907,66.2,5.798576,73.9,58.7,86.7,2.85832,301.8,297.2,94.70359,34.37858,311.1,41.64889,7.943371,59.65226,146.21576,70.3,65.7,306.8,8.333333,Equipment1,2018-05-14 00:00:00
60.2728,39.330128,55.16607,1.107805,13.274433,6.798915,70.9,8.240082,2.9840624,305.73587,63.76206,40.562294,75.6,285.6,151.6289,56.574997,59.998135,301.8,295.6,37.811855,53.9,5.08647,111.272606,9.4608345,65.6,10.647677,63.698788,-18.440529,154.99733,307.5,17.327908,10.444219,114.22522,295.2,60.50202,57.114155,66.3,5.764666,73.9,58.8,86.7,2.85832,301.9,297.4,94.82262,34.332798,311.2,41.69833,7.9772806,59.65735,146.20432,70.4,65.7,306.9,8.248559,Equipment1,2018-05-14 00:01:00
60.26771,39.30724,55.16607,1.1068895,13.266193,6.765005,70.9,8.155307,3.051882,305.8549,63.767147,40.497444,75.5,285.6,151.64417,56.569912,59.98796,301.8,295.6,37.80804,53.9,5.0525603,111.15434,9.723635,65.6,10.579858,63.698788,-18.558784,154.99733,307.5,17.22618,10.690064,114.148926,295.2,60.498207,57.10907,66.3,5.798576,73.8,58.7,86.8,2.8574045,301.8,297.3,94.7219,34.30991,311.1,41.634243,7.951848,59.65735,146.19287,70.4,65.7,306.9,8.265513,Equipment1,2018-05-14 00:02:00
60.277885,39.330128,55.181328,1.1050583,13.256123,6.798915,71.0,8.206172,3.0857918,305.5253,63.76206,40.497444,75.5,285.7,151.59839,56.574997,59.998135,301.7,295.5,37.811855,54.0,5.0525603,111.31838,9.749067,65.7,10.715497,63.698788,-18.768597,154.99352,307.5,16.98881,10.842659,114.05737,295.3,60.498207,57.12433,66.2,5.798576,73.7,58.6,86.8,2.860151,301.8,297.4,94.46555,34.298466,311.1,41.514305,7.909461,59.662434,146.29205,70.5,65.8,306.9,8.138352,Equipment1,2018-05-14 00:03:00
60.282974,39.3492,55.186417,1.1041428,13.254292,6.807392,71.1,8.248559,3.1197016,304.79285,63.76206,40.588997,75.5,285.7,151.46486,56.564827,59.99305,301.7,295.4,37.834743,54.0,5.0525603,111.589226,9.5032215,65.7,10.512038,63.698788,-18.974594,154.97063,307.6,17.463547,10.732451,114.019226,295.4,60.498207,57.12433,66.2,5.798576,73.6,58.6,86.9,2.85832,301.7,297.5,94.364845,34.30228,311.1,41.416344,7.985758,59.65735,146.26154,70.5,65.8,307.0,8.223126,Equipment1,2018-05-14 00:04:00
60.26771,39.387352,55.1915,1.1032273,13.245136,6.8921666,71.1,8.240082,3.0179722,304.95764,63.767147,40.547035,75.5,285.7,151.3962,56.569912,59.99305,301.7,295.5,37.880524,54.0,5.0525603,111.57015,9.638861,65.7,10.410309,63.698788,-19.085222,154.92104,307.6,17.395727,10.545948,113.99634,295.4,60.498207,57.114155,66.2,5.8324857,73.7,58.6,86.8,2.8574045,301.7,297.5,94.33738,34.271763,311.1,41.430077,8.163784,59.65735,146.28824,70.6,65.8,307.0,8.316379,Equipment1,2018-05-14 00:05:00
60.277885,39.387352,55.186417,1.1032273,13.253376,6.81587,71.1,8.206172,2.9162428,305.00345,63.767147,40.50889,75.5,285.6,151.3733,56.569912,59.99305,301.7,295.4,37.888153,54.0,5.0186505,111.726555,9.638861,65.7,10.342489,63.698788,-19.188221,154.89815,307.6,17.361818,10.656155,113.920044,295.3,60.498207,57.12433,66.2,5.8324857,73.7,58.6,86.8,2.8592355,301.8,297.5,94.41062,34.313725,311.1,41.49874,8.07901,59.662434,146.3569,70.6,65.9,307.0,8.299423,Equipment1,2018-05-14 00:06:00
60.277885,39.391167,55.19659,1.1032273,13.256123,6.7734823,71.0,8.189217,2.882333,305.14078,63.767147,40.596626,75.5,285.8,151.3962,56.569912,60.00322,301.7,295.4,37.899597,54.1,5.0186505,111.68459,9.893184,65.7,10.410309,63.698788,-19.371328,154.89815,307.5,17.09054,10.732451,113.79416,295.4,60.498207,57.119244,66.2,5.8324857,73.6,58.6,86.9,2.85832,301.7,297.4,94.4564,34.30991,311.1,41.442894,7.909461,59.662434,146.29968,70.5,65.8,306.9,8.240082,Equipment1,2018-05-14 00:07:00
60.277885,39.379723,55.19659,1.105974,13.265278,6.8328247,70.9,8.180739,2.8484232,305.23233,63.767147,40.585182,75.5,285.7,151.40764,56.569912,59.99305,301.8,295.5,37.930115,53.9,5.0525603,111.68078,9.901662,65.6,10.17294,63.698788,-19.371328,154.89815,307.5,17.02272,10.334011,113.67971,295.2,60.498207,57.129414,66.2,5.8324857,73.7,58.7,86.7,2.85832,301.8,297.3,94.63035,34.30991,311.1,41.596703,7.816209,59.66752,146.41031,70.4,65.7,306.9,8.240082,Equipment1,2018-05-14 00:08:00
60.28806,39.383537,55.186417,1.1068895,13.264362,6.8836894,70.9,8.384198,2.8145134,305.14078,63.767147,40.596626,75.6,285.6,151.49156,56.580086,60.00322,301.8,295.6,37.899597,53.8,5.0525603,111.49386,9.469312,65.6,10.20685,63.698788,-19.233997,154.95537,307.5,16.98881,10.520515,113.52712,295.2,60.498207,57.119244,66.3,5.798576,73.8,58.8,86.7,2.8592355,301.9,297.3,94.64866,34.298466,311.2,41.64065,8.350288,59.662434,146.36072,70.4,65.7,306.8,8.358766,Equipment1,2018-05-14 00:09:00
