Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8,Signal9,Signal10,Signal11,Signal12,Signal13,Signal14,Signal15,Signal16,Signal17,Signal18,Signal19,Signal20,Signal21,Signal22,Signal23,Signal24,Signal25,Signal26,entity,timestamp
59.143623,37.521935,54.143707,1.3586633,11.913939,5.332316,0.0,7.8416414,3.0857918,304.48157,64.0062,40.24567,78.5,286.1,162.24536,57.058205,60.32366,304.9,300.2,35.07286,53.6,4.306545,65.85031,7.8840284,53.1,8.714819,Equipment1,2018-08-07 00:00:00
59.138535,37.57534,54.123363,1.3586633,11.8965435,5.306884,0.0,7.706002,3.1536114,304.6189,64.01129,40.30289,78.6,286.0,161.86008,57.05312,60.32875,305.0,300.4,35.09575,53.6,4.306545,65.89609,8.070533,53.1,8.646999,Equipment1,2018-08-07 00:01:00
59.143623,37.62493,54.118275,1.3586633,11.918517,5.349271,0.0,7.756867,3.1875212,304.59143,64.01638,40.375374,78.5,286.1,161.841,57.05312,60.32875,304.8,300.2,35.099564,53.6,4.306545,65.8999,8.036623,53.2,8.884368,Equipment1,2018-08-07 00:02:00
59.14871,37.602043,54.118275,1.3586633,11.707942,5.3747034,0.0,7.8501186,3.1875212,306.23026,64.01638,40.386818,78.8,286.2,161.87915,57.063293,60.32366,305.2,300.9,35.099564,53.6,4.306545,65.82361,8.553747,52.3,8.61309,Equipment1,2018-08-07 00:03:00
59.153797,37.563896,54.133533,1.3577478,11.800412,5.3662257,0.0,7.816209,3.221431,304.9485,64.01638,40.383003,78.7,286.1,162.31021,57.063293,60.32366,305.1,300.5,35.099564,53.6,4.306545,65.88464,8.062055,52.6,8.748729,Equipment1,2018-08-07 00:04:00
59.169056,37.59823,54.16405,1.3577478,11.805905,5.3238387,0.0,7.765344,3.221431,304.16113,64.02655,40.36011,78.4,286.0,162.29114,57.073463,60.338924,304.8,300.5,35.099564,53.5,4.3404546,65.8999,7.765344,53.0,8.646999,Equipment1,2018-08-07 00:05:00
59.143623,37.689785,54.123363,1.3577478,11.941405,5.3577485,0.0,7.8585963,3.2892506,305.626,64.01638,40.447853,78.7,286.1,162.14618,57.05312,60.32875,305.1,300.3,35.099564,53.6,4.3743644,65.861755,8.036623,53.0,8.748729,Equipment1,2018-08-07 00:06:00
59.14871,37.621117,54.138622,1.3577478,11.815061,5.239064,0.0,7.706002,3.2553408,304.75623,64.01638,40.31815,78.5,286.1,161.98978,57.058205,60.338924,304.9,300.7,35.099564,53.6,4.272635,65.88464,8.01119,52.9,8.57918,Equipment1,2018-08-07 00:07:00
59.153797,37.62493,54.133533,1.3577478,11.761959,5.3831806,0.0,7.756867,3.1875212,305.5894,64.01638,40.344852,78.7,286.3,162.10422,57.05312,60.338924,305.1,300.6,35.10338,53.7,4.3743644,65.90372,7.9009833,52.6,8.646999,Equipment1,2018-08-07 00:08:00
59.158882,37.59823,54.15388,1.3568323,11.903868,5.289929,0.0,7.7483892,3.221431,304.06042,64.01129,40.241856,78.4,286.0,162.22247,57.06838,60.333836,304.7,300.4,35.12627,53.5,4.306545,65.92279,7.985758,53.3,8.646999,Equipment1,2018-08-07 00:09:00
59.158882,37.59823,54.118275,1.3568323,11.827878,5.315361,0.0,7.799254,3.221431,306.1204,64.0062,40.218967,78.8,286.2,162.02411,57.042946,60.318577,305.2,300.7,35.099564,53.6,4.408274,65.82742,8.367243,52.7,8.680909,Equipment1,2018-08-07 00:10:00
59.158882,37.609673,54.133533,1.3568323,11.808652,5.306884,0.0,7.8077316,3.1875212,304.89355,64.01638,40.321964,78.6,286.2,162.1767,57.063293,60.32875,305.0,300.6,35.099564,53.6,4.306545,65.854126,8.367243,52.8,8.57918,Equipment1,2018-08-07 00:11:00
59.158882,37.609673,54.138622,1.3568323,11.838864,5.2136316,0.0,7.722957,3.1536114,304.59143,64.01638,40.276188,78.5,286.1,162.24536,57.063293,60.333836,304.8,300.5,35.099564,53.6,4.306545,65.86557,8.197694,53.0,8.57918,Equipment1,2018-08-07 00:12:00
59.14871,37.67071,54.133533,1.3568323,11.814145,5.306884,0.0,7.8585963,3.221431,305.25064,64.02655,40.31052,78.7,286.1,162.16907,57.058205,60.32875,305.1,300.6,35.099564,53.6,4.306545,65.796906,8.426585,52.8,8.646999,Equipment1,2018-08-07 00:13:00
59.143623,37.647823,54.123363,1.3568323,11.739986,5.281451,0.0,7.7483892,3.1875212,305.7725,64.02146,40.37919,78.9,286.2,162.3064,57.063293,60.32366,305.4,301.0,35.137714,53.7,4.306545,65.86557,7.8077316,52.3,8.816548,Equipment1,2018-08-07 00:14:00
59.143623,37.537193,54.138622,1.3568323,11.721676,5.3662257,0.0,7.756867,3.1536114,305.04922,64.03164,40.36011,78.9,286.2,162.66881,57.073463,60.333836,305.3,300.9,35.164417,53.7,4.272635,65.796906,8.14683,52.3,8.884368,Equipment1,2018-08-07 00:15:00
59.143623,37.541008,54.12845,1.3559167,11.725338,5.289929,0.0,7.8501186,3.1197016,305.04007,64.02146,40.42878,78.9,286.2,162.85954,57.06838,60.333836,305.3,300.9,35.172047,53.6,4.3404546,65.789276,7.892506,52.4,8.54527,Equipment1,2018-08-07 00:16:00
59.143623,37.51812,54.158966,1.3559167,11.783933,5.3577485,0.0,7.739912,3.0857918,303.9231,64.02655,40.291447,78.7,286.1,162.7718,57.073463,60.333836,305.1,300.6,35.1339,53.5,4.3743644,65.80835,8.392675,52.7,8.748729,Equipment1,2018-08-07 00:17:00
59.13345,37.59823,54.118275,1.3559167,11.937743,5.272974,0.0,7.7144794,3.0857918,304.7837,64.02655,40.386818,78.2,286.4,162.57344,57.058205,60.333836,304.5,299.9,35.099564,53.8,4.3404546,65.83887,8.324856,53.6,8.646999,Equipment1,2018-08-07 00:18:00
59.11819,37.682156,54.087757,1.3550011,11.889219,5.2644963,0.0,7.706002,3.1875212,305.0767,64.0062,40.348667,79.0,286.1,162.11185,57.017513,60.318577,305.4,300.7,35.114822,53.6,4.272635,65.82742,8.384198,52.7,8.61309,Equipment1,2018-08-07 00:19:00
59.123276,37.613487,54.103016,1.3550011,11.808652,5.289929,0.0,7.8331637,3.0857918,304.9027,64.0062,40.348667,78.5,286.4,161.98215,57.027687,60.31349,304.9,300.4,35.09575,53.7,4.306545,65.81979,8.257036,52.9,8.61309,Equipment1,2018-08-07 00:20:00
