Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8,Signal9,Signal10,Signal11,Signal12,Signal13,Signal14,Signal15,Signal16,Signal17,Signal18,Signal19,Signal20,Signal21,Signal22,Signal23,Signal24,Signal25,Signal26,Signal27,Signal28,Signal29,Signal30,Signal31,Signal32,Signal33,Signal34,Signal35,Signal36,entity,timestamp
60.405045,41.397728,57.032772,1.1645685,11.344473,5.6968465,62.4,5.98508,3.9674466,305.58023,64.91667,43.900208,78.8,287.1,164.34729,58.533257,61.742764,305.9,302.2,39.112686,55.8,4.306545,93.530174,6.4343843,56.5,7.595795,64.377815,5.428397,156.80934,300.8,18.413021,8.918278,94.670784,200.0,63.698788,58.624813,Equipment1,2018-01-30 00:00:00
60.420303,41.38247,57.042946,1.1645685,11.3490505,5.7307563,62.6,6.0613766,3.9674466,305.12247,64.92684,43.858242,78.5,287.1,164.51515,58.5536,61.752937,305.7,301.9,39.097427,55.9,4.306545,94.068054,6.637843,56.8,7.6636147,64.374,6.0769053,156.94667,301.0,18.345201,9.198033,94.934006,200.0,63.687344,58.624813,Equipment1,2018-01-30 00:01:00
60.41522,41.38247,57.058205,1.1645685,11.350882,5.781621,62.6,6.129196,4.0013566,304.31677,64.93701,43.862057,78.6,287.1,164.48843,58.548515,61.758022,305.7,302.1,39.097427,55.8,4.306545,93.26696,6.654798,56.6,7.460156,64.35493,7.0267797,156.80934,300.9,18.78603,9.181078,94.85771,200.0,63.698788,58.64007,Equipment1,2018-01-30 00:02:00
60.425392,41.332874,57.058205,1.1645685,11.39208,5.6798916,62.7,6.0444217,3.9335368,304.9485,64.94719,43.99176,78.6,287.0,164.5533,58.5536,61.758022,305.7,302.0,39.097427,55.7,4.272635,93.33944,6.4937267,56.8,7.256697,64.3473,7.316701,156.9009,301.1,18.446932,8.84198,95.42611,200.0,63.698788,58.634983,Equipment1,2018-01-30 00:03:00
60.435562,41.401543,57.058205,1.1645685,11.470818,5.620549,63.0,5.976602,3.9335368,304.3717,64.95736,44.01465,78.4,287.1,164.38162,58.55869,61.758022,305.5,301.4,39.097427,55.8,4.306545,93.114365,6.4937267,57.2,7.460156,64.385445,7.896544,156.80553,301.5,18.48084,9.045439,95.51766,200.0,63.698788,58.645157,Equipment1,2018-01-30 00:04:00
60.435562,41.401543,57.063293,1.1645685,11.382925,5.5866394,62.7,5.959647,3.899627,305.3788,64.94719,43.995575,78.6,287.1,164.11078,58.5536,61.758022,305.7,301.9,39.097427,55.8,4.238725,94.31602,6.3580875,56.8,7.256697,64.42359,8.129244,156.75594,301.1,18.54866,9.020007,96.04028,200.0,63.698788,58.645157,Equipment1,2018-01-30 00:05:00
60.430477,41.36339,57.063293,1.1645685,11.36553,5.612072,62.6,6.0189896,3.9674466,305.12247,64.95227,43.9498,78.6,286.9,164.18326,58.563774,61.768196,305.7,302.1,39.097427,55.7,4.272635,93.6675,6.34961,56.6,7.324517,64.374,8.529793,156.7979,300.9,18.75212,9.011529,96.54383,200.0,63.698788,58.65024,Equipment1,2018-01-30 00:06:00
60.44065,41.37102,57.063293,1.1654841,11.33257,5.5866394,62.3,6.0020347,4.0013566,305.8091,64.95227,43.980316,78.7,287.0,164.45029,58.579033,61.768196,305.9,302.3,39.097427,55.8,4.306545,94.338905,6.332655,56.4,7.256697,64.35874,8.884565,156.89326,300.8,18.277382,8.986097,97.12367,200.0,63.698788,58.65024,Equipment1,2018-01-30 00:07:00
60.445736,41.38247,57.078552,1.1654841,11.331655,5.5866394,62.5,5.98508,3.9674466,304.8203,64.96245,43.91165,78.6,287.1,164.60289,58.58412,61.77837,305.7,302.1,39.105057,55.8,4.306545,93.40429,6.4004745,56.5,7.256697,64.33204,9.67422,156.99626,300.9,18.48084,9.028484,96.88335,200.0,63.698788,58.65024,Equipment1,2018-01-30 00:08:00
60.44065,41.367207,57.078552,1.1654841,11.396658,5.578162,62.6,6.0189896,4.0013566,304.42664,64.95736,43.80865,78.6,286.9,164.59908,58.58412,61.77837,305.7,302.0,39.021133,55.7,4.272635,93.270775,6.425907,56.7,7.3923364,64.35493,10.166324,156.99626,301.1,18.277382,9.028484,97.27245,200.0,63.672085,58.65024,Equipment1,2018-01-30 00:09:00
60.445736,41.348133,57.078552,1.1654841,11.366446,5.6035943,62.4,5.98508,3.9674466,304.6006,64.9421,43.83917,78.7,287.0,164.54948,58.579033,61.77837,305.9,302.2,38.998245,55.8,4.306545,92.9427,6.3665648,56.5,7.290607,64.38926,10.494392,156.97719,300.8,18.107834,9.062394,97.49752,200.0,63.694973,58.65533,Equipment1,2018-01-30 00:10:00
60.44065,41.290913,57.073463,1.1654841,11.394827,5.501865,62.7,5.8833504,3.9674466,304.56396,64.9421,43.854427,78.5,287.1,164.49988,58.58412,61.77837,305.6,301.8,38.998245,55.9,4.306545,93.0724,6.332655,56.8,7.154968,64.35493,10.749981,156.95049,301.2,17.497458,9.325195,97.94385,200.0,63.687344,58.65533,Equipment1,2018-01-30 00:11:00
60.44065,41.298542,57.073463,1.1663996,11.335317,5.501865,62.5,5.8663955,3.9674466,304.76538,64.93701,43.842983,78.6,287.1,164.44647,58.579033,61.77328,305.7,302.0,38.998245,55.9,4.306545,93.530174,6.256358,56.5,7.1888776,64.36256,11.1429,156.88182,300.9,17.497458,9.053917,98.06592,200.0,63.698788,58.65533,Equipment1,2018-01-30 00:12:00
60.450825,41.298542,57.083637,1.1663996,11.371023,5.5357747,62.5,5.9426923,3.9335368,304.76538,64.94719,43.789577,78.6,287.0,164.49988,58.589207,61.783455,305.7,302.0,38.998245,55.8,4.306545,92.969406,6.4937267,56.6,7.0193286,64.35874,11.5167465,156.80171,301.0,17.734825,9.248898,98.3444,200.0,63.698788,58.660416,Equipment1,2018-01-30 00:13:00
60.445736,41.260395,57.083637,1.1663996,11.386587,5.620549,62.4,5.968125,3.9674466,304.79285,64.95736,43.83917,78.8,286.8,164.47318,58.579033,61.783455,305.9,302.2,38.998245,55.7,4.306545,93.114365,6.273313,56.4,7.121058,64.36256,11.818112,156.94667,300.8,17.700916,8.867413,98.56565,200.0,63.698788,58.660416,Equipment1,2018-01-30 00:14:00
60.450825,41.21462,57.073463,1.1663996,11.40032,5.595117,62.7,5.9426923,3.9335368,305.0767,64.95736,43.835354,78.4,287.1,164.44266,58.589207,61.783455,305.5,301.7,38.998245,55.9,4.272635,93.465324,6.298745,56.8,7.087148,64.38926,12.073701,156.91234,301.3,17.700916,9.011529,98.96239,200.0,63.698788,58.660416,Equipment1,2018-01-30 00:15:00
60.45591,41.27947,57.083637,1.1663996,11.418632,5.637504,62.5,5.976602,3.9335368,304.69214,64.95227,43.83154,78.6,286.9,164.12604,58.579033,61.783455,305.7,302.0,38.99443,55.7,4.272635,93.60647,6.4937267,56.6,7.154968,64.35874,12.298772,156.85512,301.1,17.972195,8.969142,98.99672,200.0,63.672085,58.660416,Equipment1,2018-01-30 00:16:00
60.445736,41.19936,57.063293,1.1673151,11.325246,5.5866394,62.3,6.0613766,3.9674466,305.69925,64.95736,43.89258,78.7,287.1,164.20615,58.58412,61.783455,305.8,302.2,38.998245,55.8,4.272635,93.343254,6.4004745,56.3,6.8836894,64.33585,12.371252,156.85893,300.7,17.836555,8.943709,99.87793,200.0,63.698788,58.65533,Equipment1,2018-01-30 00:17:00
60.450825,41.226063,57.06838,1.1673151,11.305104,5.620549,62.2,6.0359445,3.9335368,305.47952,64.95736,43.923096,78.7,287.1,164.45029,58.589207,61.783455,305.8,302.2,38.998245,55.9,4.272635,93.2517,6.5445914,56.2,6.917599,64.320595,12.70695,156.91615,300.7,17.836555,8.986097,100.09537,200.0,63.698788,58.660416,Equipment1,2018-01-30 00:18:00
60.445736,41.298542,57.073463,1.1673151,11.385672,5.612072,62.4,6.010512,4.0013566,304.1703,64.96245,43.854427,78.7,286.9,164.50371,58.579033,61.788544,305.8,302.0,38.998245,55.7,4.272635,92.9427,6.4937267,56.4,7.0193286,64.31678,13.031204,156.89708,300.8,17.463547,9.147168,100.09537,200.0,63.698788,58.6655,Equipment1,2018-01-30 00:19:00
60.44065,41.27947,57.06838,1.1673151,11.355459,5.612072,62.4,5.968125,3.9335368,304.75623,64.95736,43.83154,78.6,287.1,164.44266,58.573948,61.788544,305.8,302.0,38.975357,55.9,4.272635,93.35851,6.5106816,56.4,7.121058,64.312965,13.199054,156.88945,301.0,17.700916,8.960665,100.411995,200.0,63.698788,58.65533,Equipment1,2018-01-30 00:20:00
60.45591,41.252766,57.058205,1.1673151,11.376516,5.578162,62.4,5.959647,3.9335368,305.1957,64.95736,43.938354,78.7,287.0,164.43884,58.568863,61.77328,305.8,302.1,38.998245,55.8,4.306545,93.19447,6.4343843,56.4,6.951509,64.3473,13.233387,156.84749,301.0,17.327908,9.070871,101.087204,200.0,63.698788,58.65533,Equipment1,2018-01-30 00:21:00
60.445736,41.195545,57.058205,1.1673151,11.384756,5.5866394,62.4,5.968125,3.9674466,304.97595,64.96245,43.812466,78.7,287.0,164.40451,58.563774,61.77837,305.8,302.0,38.99443,55.8,4.238725,93.32418,6.3919973,56.4,6.985419,64.328224,13.374533,156.8246,300.9,17.327908,8.87589,101.129166,200.0,63.698788,58.65533,Equipment1,2018-01-30 00:22:00
60.445736,41.25658,57.06838,1.1673151,11.331655,5.5612073,62.3,6.0444217,3.9674466,304.89355,64.96753,43.793392,78.6,287.1,164.31296,58.5536,61.77837,305.8,302.1,38.918137,55.8,4.306545,93.52636,6.5615463,56.3,6.985419,64.320595,13.725491,156.78645,300.8,17.260088,8.867413,100.98802,200.0,63.698788,58.65024,Equipment1,2018-01-30 00:23:00
60.445736,41.14214,57.063293,1.1682308,11.309682,5.5612073,62.1,6.086809,3.9674466,305.31473,64.95736,43.785763,78.8,287.0,164.38925,58.568863,61.77837,306.0,302.4,38.899063,55.8,4.306545,92.92363,6.4343843,56.1,6.985419,64.34348,13.866636,156.75594,300.5,17.870464,9.045439,101.724266,200.0,63.672085,58.65024,Equipment1,2018-01-30 00:24:00
60.450825,41.19936,57.042946,1.1682308,11.33257,5.578162,62.2,5.959647,3.9335368,305.1957,64.95736,43.76669,78.8,287.0,164.53041,58.563774,61.77328,305.9,302.1,38.899063,55.8,4.3404546,93.52636,6.3919973,56.2,6.8836894,64.3473,13.95819,156.78645,300.6,17.463547,9.282807,101.968414,200.0,63.698788,58.64007,Equipment1,2018-01-30 00:25:00
60.435562,41.19936,57.042946,1.1682308,11.366446,5.5442524,62.3,5.98508,3.899627,304.38086,64.94719,43.739986,78.7,287.0,164.47318,58.54343,61.76311,305.8,302.1,38.899063,55.8,4.3404546,93.37759,6.502204,56.3,7.0532384,64.27482,14.099337,156.72542,300.8,17.15836,9.045439,102.098114,200.0,63.649197,58.64007,Equipment1,2018-01-30 00:26:00
60.430477,41.20699,57.042946,1.1682308,11.389334,5.5612073,62.4,5.9426923,3.9335368,305.14078,64.9421,43.797207,78.7,287.0,164.40833,58.533257,61.76311,305.7,302.0,38.899063,55.8,4.272635,92.67948,6.3665648,56.4,7.087148,64.271,14.072633,156.70253,300.9,17.497458,9.070871,102.571144,200.0,63.68353,58.634983,Equipment1,2018-01-30 00:27:00
60.430477,41.123062,57.032772,1.1682308,11.401236,5.5866394,62.5,5.959647,3.899627,305.26895,64.92684,43.7171,78.6,287.1,164.34729,58.523083,61.758022,305.6,301.8,38.899063,55.9,4.306545,92.83971,6.476772,56.6,6.985419,64.305336,14.145113,156.79027,301.1,17.633097,9.138691,102.64362,200.0,63.698788,58.624813,Equipment1,2018-01-30 00:28:00
60.425392,41.153584,57.03786,1.1682308,11.413138,5.645982,62.6,6.027467,3.9674466,304.66467,64.93701,43.698025,78.5,287.0,164.10696,58.523083,61.76311,305.6,301.7,38.899063,55.8,4.306545,94.16724,6.332655,56.6,7.154968,64.305336,14.377813,156.70253,301.2,17.192268,9.181078,102.555885,200.0,63.672085,58.629898,Equipment1,2018-01-30 00:29:00
60.425392,41.19936,57.03786,1.1682308,11.343556,5.578162,62.2,5.9426923,3.9674466,305.0767,64.92684,43.747616,78.8,287.0,163.95819,58.523083,61.752937,305.9,302.2,38.83421,55.8,4.3404546,93.32418,6.3919973,56.1,6.951509,64.29771,14.625772,156.69872,300.6,17.05663,9.104781,102.57496,200.0,63.645382,58.619724,Equipment1,2018-01-30 00:30:00
60.425392,41.12688,57.03786,1.1691463,11.2968645,5.6035943,62.0,5.993557,3.9674466,305.12247,64.93193,43.785763,78.7,287.0,164.19852,58.523083,61.752937,305.9,302.3,38.799877,55.8,4.306545,91.79828,6.408952,56.0,6.8497796,64.29771,14.9500265,156.75975,300.5,17.293999,9.282807,102.84581,200.0,63.698788,58.619724,Equipment1,2018-01-30 00:31:00
