Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8,Signal9,Signal10,Signal11,Signal12,Signal13,Signal14,Signal15,Signal16,Signal17,Signal18,Signal19,Signal20,Signal21,Signal22,Signal23,Signal24,Signal25,Signal26,Signal27,Signal28,Signal29,Signal30,Signal31,Signal32,Signal33,Signal34,Signal35,Signal36,Signal37,Signal38,Signal39,Signal40,Signal41,Signal42,Signal43,entity,timestamp
62.078465,43.75143,57.134502,1.2295719,13.448386,6.637843,65.9,0.0339098,3.3231604,308.54657,65.22694,45.65118,76.1,285.9,163.45845,59.026634,62.03269,302.2,298.0,42.09964,53.9,4.7134624,111.955444,9.282807,61.4,9.528654,67.45251,35.4963,163.91241,305.3,15.835876,10.723974,155.51996,200.0,63.752193,58.833355,66.8,5.256019,76.3,60.6,0.0,2.846418,303.3,Equipment1,2018-03-13 00:00:00
62.078465,43.804836,57.185364,1.2286564,13.492332,6.595456,66.1,0.04238725,3.2553408,306.3218,65.242195,45.609215,76.1,285.7,162.86717,59.031723,62.03269,302.2,297.9,42.1149,53.8,4.747372,113.32876,9.562564,61.6,9.698203,67.47158,35.442894,163.69879,305.5,15.700237,10.57138,156.0502,200.0,63.74838,58.83844,66.8,5.256019,76.2,60.6,0.0,2.861982,303.3,Equipment1,2018-03-13 00:01:00
62.08864,43.812466,57.195538,1.2286564,13.481346,6.637843,66.1,0.0339098,3.2892506,305.79996,65.237114,45.632107,76.1,285.7,162.47424,59.036808,62.037773,302.2,297.9,42.198826,53.8,4.781282,113.50805,9.8423195,61.6,9.562564,67.467766,35.358967,163.5462,305.5,15.428959,11.029162,156.35919,200.0,63.729305,58.83844,66.8,5.256019,76.2,60.6,0.0,2.85832,303.3,Equipment1,2018-03-13 00:02:00
62.083553,43.75906,57.20571,1.2286564,13.447471,6.646321,66.1,0.0339098,3.3231604,305.23233,65.242195,45.59777,76.0,285.8,162.24536,59.026634,62.03269,302.0,297.7,42.198826,53.8,4.747372,114.065,10.0118685,61.6,9.664293,67.483025,35.29793,163.43938,305.5,15.734147,10.639199,156.43549,200.0,63.759823,58.848614,66.7,5.256019,76.0,60.4,0.0,2.85832,303.1,Equipment1,2018-03-13 00:03:00
62.08864,43.770504,57.23623,1.2286564,13.430076,6.6802306,66.0,0.0339098,3.3231604,304.22522,65.237114,45.578697,75.9,285.9,161.84863,59.036808,62.03269,302.0,297.5,42.198826,53.9,4.747372,114.48463,9.876229,61.6,9.426925,67.42962,35.29793,163.35164,305.4,15.632418,11.096982,156.44693,200.0,63.763638,58.8537,66.7,5.2221093,75.9,60.3,0.0,2.8574045,303.1,Equipment1,2018-03-13 00:04:00
62.083553,43.827724,57.251488,1.2286564,13.524376,6.7056627,66.1,0.0339098,3.2553408,300.9201,65.237114,45.735104,76.2,285.1,161.58923,59.036808,62.037773,302.3,298.2,42.244602,53.2,4.747372,114.85466,9.986436,61.7,9.7999325,67.42199,35.29793,163.26772,305.5,15.734147,10.766361,156.54231,200.0,63.767452,58.863873,66.8,5.256019,76.4,60.8,0.0,2.8656442,303.5,Equipment1,2018-03-13 00:05:00
62.083553,43.850613,57.195538,1.2304876,13.620508,6.7056627,65.9,0.04238725,3.2892506,300.08698,65.22694,45.78088,76.6,284.8,162.31403,59.041893,62.037773,302.7,298.8,42.28275,53.0,4.6456428,112.86336,9.587996,61.5,9.7999325,67.38384,35.29793,163.4966,305.4,16.005426,10.630722,156.45074,200.0,63.736935,58.843525,67.2,5.3238387,77.1,61.3,0.0,2.8592355,303.9,Equipment1,2018-03-13 00:06:00
62.083553,43.770504,57.144672,1.2314031,13.601282,6.6039333,66.0,0.0339098,3.2892506,302.18356,65.22185,45.681698,76.6,285.0,162.98161,59.04698,62.03269,302.6,298.7,42.183567,53.1,4.6456428,111.96689,9.30824,61.5,9.867752,67.44488,35.366596,163.68353,305.4,15.971516,10.817226,155.79462,200.0,63.687344,58.83844,67.2,5.289929,77.0,61.2,0.0,2.8610666,303.9,Equipment1,2018-03-13 00:07:00
62.07338,43.789577,57.154846,1.2304876,13.495079,6.6039333,65.8,0.0339098,3.3231604,304.81116,65.232025,45.58251,76.3,285.5,163.1075,59.04698,62.037773,302.3,298.2,42.133976,53.6,4.6795526,112.047,10.079688,61.4,9.562564,67.39147,35.420006,163.71024,305.3,15.869786,10.918956,155.43983,200.0,63.71786,58.83844,67.0,5.256019,76.5,60.8,0.0,2.846418,303.5,Equipment1,2018-03-13 00:08:00
62.08864,43.83154,57.175194,1.2295719,13.530785,6.7226176,66.0,0.0339098,3.3231604,305.51614,65.242195,45.59777,76.3,285.4,162.9244,59.041893,62.03269,302.3,298.2,42.183567,53.5,4.6795526,113.096054,9.613428,61.6,9.664293,67.45632,35.397118,163.66827,305.5,15.666327,10.851136,156.09598,200.0,63.5996,58.848614,66.9,5.256019,76.6,60.8,0.0,2.860151,303.5,Equipment1,2018-03-13 00:09:00
62.08864,43.82391,57.16502,1.2295719,13.622339,6.78196,66.1,0.0339098,3.2892506,304.03296,65.237114,45.704586,76.6,285.1,163.0045,59.041893,62.042862,302.5,298.7,42.198826,53.1,4.611733,113.16853,10.155985,61.6,9.867752,67.38003,35.32082,163.64157,305.5,15.937606,10.698542,156.42786,200.0,63.633938,58.83844,67.1,5.289929,77.0,61.2,0.0,2.8656442,303.8,Equipment1,2018-03-13 00:10:00
62.078465,43.739986,57.129414,1.2304876,13.610437,6.637843,65.9,0.0339098,3.3570702,303.328,65.22185,45.761806,76.6,285.0,163.3402,59.041893,62.037773,302.6,298.8,42.198826,53.2,4.6795526,112.298775,9.994913,61.5,9.7999325,67.38003,35.33608,163.82849,305.4,15.937606,10.851136,156.03113,200.0,63.694973,58.82318,67.2,5.3577485,77.1,61.3,0.0,2.85832,303.9,Equipment1,2018-03-13 00:11:00
62.078465,43.747616,57.119244,1.2314031,13.580224,6.7395725,65.9,0.0339098,3.3231604,303.19983,65.22185,45.696957,76.5,285.2,163.52332,59.036808,62.03269,302.6,298.6,42.19501,53.3,4.6795526,111.91348,10.062733,61.5,9.833842,67.353325,35.397118,163.89334,305.4,15.835876,10.876569,155.61151,200.0,63.698788,58.828266,67.1,5.289929,76.9,61.1,0.0,2.8574045,303.8,Equipment1,2018-03-13 00:12:00
62.078465,43.70947,57.144672,1.2295719,13.533532,6.620888,66.0,0.0339098,3.3231604,305.4429,65.232025,45.677883,76.3,285.3,163.38979,59.041893,62.037773,302.4,298.4,42.179752,53.4,4.7134624,112.43229,9.825364,61.6,9.698203,67.43725,35.40856,163.89716,305.4,16.005426,11.054595,155.7107,200.0,63.706417,58.833355,67.0,5.256019,76.8,61.0,0.0,2.856489,303.6,Equipment1,2018-03-13 00:13:00
62.078465,43.812466,57.144672,1.2304876,13.553674,6.5869784,65.9,0.0339098,3.3570702,305.26895,65.232025,45.799953,76.5,285.4,163.37071,59.036808,62.03269,302.5,298.4,42.198826,53.5,4.6795526,112.61158,9.638861,61.5,9.596474,67.3724,35.38949,163.89334,305.3,15.700237,11.105459,156.21042,200.0,63.679714,58.833355,67.1,5.256019,76.8,61.0,0.0,2.8519113,303.6,Equipment1,2018-03-13 00:14:00
62.078465,43.83917,57.154846,1.2295719,13.514305,6.7565274,66.0,0.04238725,3.3570702,306.25772,65.237114,45.693142,76.3,285.6,163.13802,59.036808,62.037773,302.2,298.1,42.198826,53.7,4.7134624,113.32113,9.698203,61.5,9.494744,67.345695,35.393303,163.8323,305.4,15.835876,10.673109,156.28671,200.0,63.62249,58.83844,66.9,5.256019,76.4,60.7,0.0,2.856489,303.4,Equipment1,2018-03-13 00:15:00
62.078465,43.80865,57.16502,1.2295719,13.6140995,6.629366,66.1,0.0339098,3.3231604,302.76035,65.237114,45.784695,76.4,285.1,163.01213,59.036808,62.03269,302.5,298.7,42.21027,53.1,4.6795526,113.51949,9.952526,61.6,9.901662,67.34951,35.400932,163.7255,305.6,16.005426,10.808749,156.42404,200.0,63.61486,58.83844,67.1,5.3238387,76.9,61.1,0.0,2.8693066,303.8,Equipment1,2018-03-13 00:16:00
62.07338,43.82391,57.129414,1.2304876,13.59762,6.671753,65.9,0.0339098,3.3231604,302.22018,65.21677,45.78851,76.6,285.0,163.3173,59.031723,62.03269,302.6,298.7,42.21027,53.1,4.7134624,112.33692,10.27467,61.5,9.766023,67.3991,35.366596,163.83994,305.4,15.700237,10.893523,156.11505,200.0,63.66064,58.82318,67.1,5.3238387,77.0,61.2,0.0,2.8555734,303.8,Equipment1,2018-03-13 00:17:00
62.07338,43.797207,57.119244,1.2304876,13.559167,6.629366,65.9,0.0339098,3.39098,304.32593,65.21677,45.750362,76.5,285.3,163.45464,59.031723,62.037773,302.5,298.5,42.198826,53.4,4.6795526,112.21866,9.70668,61.5,9.6303835,67.42199,35.397118,163.88953,305.3,15.632418,10.96982,155.92432,200.0,63.74075,58.82318,67.1,5.289929,76.8,61.0,0.0,2.8537424,303.7,Equipment1,2018-03-13 00:18:00
62.083553,43.793392,57.14976,1.2295719,13.571069,6.646321,66.1,0.0339098,3.39098,304.81116,65.22694,45.64355,76.3,285.3,163.35164,59.031723,62.03269,302.3,298.4,42.198826,53.4,4.6795526,113.153275,10.0118685,61.6,9.7999325,67.42199,35.397118,163.86282,305.5,16.005426,10.512038,156.12268,200.0,63.78271,58.83844,67.0,5.289929,76.7,60.9,0.0,2.8647287,303.6,Equipment1,2018-03-13 00:19:00
62.078465,43.850613,57.129414,1.2304876,13.627832,6.646321,66.0,0.0339098,3.3570702,302.31174,65.22185,45.90677,76.7,285.0,163.48515,59.031723,62.03269,302.6,298.7,42.236973,53.1,4.6456428,112.67643,9.6727705,61.5,9.867752,67.3991,35.33608,163.86664,305.4,15.903696,10.53747,156.34775,200.0,63.74838,58.833355,67.2,5.3238387,77.1,61.2,0.0,2.861982,303.8,Equipment1,2018-03-13 00:20:00
62.078465,43.83154,57.119244,1.2304876,13.59762,6.578501,66.0,0.0339098,3.3570702,303.31885,65.21677,45.754177,76.5,285.1,163.65302,59.026634,62.027603,302.6,298.7,42.198826,53.2,4.6456428,112.134735,9.24042,61.5,9.7999325,67.3991,35.397118,163.92004,305.4,15.462869,10.520515,155.82132,200.0,63.72549,58.83844,67.1,5.3238387,77.0,61.2,0.0,2.8592355,303.8,Equipment1,2018-03-13 00:21:00
62.078465,43.797207,57.12433,1.2314031,13.531701,6.612411,65.8,0.0339098,3.39098,304.72876,65.22185,45.77325,76.4,285.4,163.67209,59.02155,62.037773,302.5,298.4,42.198826,53.5,4.6795526,112.142365,9.604951,61.4,9.664293,67.3991,35.404747,163.89716,305.3,15.700237,10.842659,155.70688,200.0,63.763638,58.83844,67.0,5.256019,76.7,60.9,0.0,2.8491645,303.6,Equipment1,2018-03-13 00:22:00
62.08864,43.797207,57.144672,1.2304876,13.559167,6.646321,66.0,0.0339098,3.3570702,304.7196,65.232025,45.685513,76.3,285.3,163.41267,59.031723,62.037773,302.4,298.4,42.198826,53.4,4.6456428,113.19905,9.638861,61.5,9.698203,67.3991,35.397118,163.8323,305.4,15.835876,10.961343,156.1265,200.0,63.763638,58.843525,67.0,5.289929,76.7,60.9,0.0,2.85832,303.6,Equipment1,2018-03-13 00:23:00
62.08864,43.732357,57.154846,1.2304876,13.486839,6.620888,66.0,0.0339098,3.39098,306.0563,65.232025,45.73129,76.1,285.7,163.22575,59.031723,62.037773,302.2,298.1,42.25223,53.7,4.6795526,113.36309,10.079688,61.5,9.6303835,67.31518,35.397118,163.8056,305.3,15.937606,10.486606,156.24857,200.0,63.778896,58.83844,66.9,5.256019,76.4,60.7,0.0,2.854658,303.4,Equipment1,2018-03-13 00:24:00
62.083553,43.70947,57.16502,1.2295719,13.565576,6.5869784,66.1,0.04238725,3.3231604,303.43787,65.232025,45.75799,76.3,285.3,162.93965,59.02155,62.042862,302.3,298.3,42.23316,53.4,4.6456428,113.904785,9.6303835,61.6,9.698203,67.3724,35.461967,163.71024,305.5,16.174974,10.410309,156.42023,200.0,63.74838,58.8537,67.0,5.256019,76.6,60.8,0.0,2.8674755,303.5,Equipment1,2018-03-13 00:25:00
62.083553,43.797207,57.154846,1.2304876,13.627832,6.6632757,66.0,0.0339098,3.3231604,301.6617,65.22185,45.857174,76.6,284.9,163.04265,59.031723,62.047947,302.6,298.8,42.298008,53.0,4.6795526,113.23338,9.723635,61.5,9.698203,67.35714,35.324635,163.77127,305.4,15.937606,10.851136,156.46982,200.0,63.778896,58.843525,67.2,5.3238387,77.1,61.3,0.0,2.861982,303.9,Equipment1,2018-03-13 00:26:00
62.083553,43.76669,57.12433,1.2314031,13.600367,6.688708,65.9,0.0339098,3.3570702,302.55893,65.20659,45.670254,76.6,285.1,163.40504,59.031723,62.047947,302.6,298.7,42.221714,53.2,4.6795526,112.199585,9.409969,61.5,9.766023,67.3991,35.397118,163.90479,305.4,16.073246,10.885046,155.88617,200.0,63.714046,58.83844,67.2,5.289929,77.0,61.2,0.0,2.85832,303.8,Equipment1,2018-03-13 00:27:00
62.078465,43.858242,57.134502,1.2314031,13.562829,6.637843,65.9,0.0339098,3.3570702,303.96887,65.22694,45.628292,76.5,285.2,163.6225,59.036808,62.042862,302.6,298.6,42.198826,53.3,4.6795526,112.16907,9.350627,61.5,9.6303835,67.3991,35.465782,163.9849,305.3,15.666327,11.020685,155.6344,200.0,63.759823,58.848614,67.1,5.256019,76.9,61.1,0.0,2.8528268,303.8,Equipment1,2018-03-13 00:28:00
62.083553,43.770504,57.144672,1.2314031,13.609522,6.646321,65.9,0.0339098,3.3570702,303.38293,65.232025,45.815212,76.6,285.2,163.65683,59.036808,62.042862,302.6,298.6,42.198826,53.3,4.6456428,112.470436,9.8847065,61.5,9.766023,67.36477,35.42382,163.99634,305.3,15.903696,10.986775,155.8938,200.0,63.744564,58.83844,67.2,5.289929,76.9,61.1,0.0,2.861982,303.8,Equipment1,2018-03-13 00:29:00
62.093723,43.797207,57.14976,1.2304876,13.514305,6.7226176,65.9,0.0339098,3.3231604,306.24857,65.232025,45.761806,76.4,285.4,163.53857,59.04698,62.042862,302.4,298.4,42.198826,53.5,4.7134624,112.70313,9.647338,61.4,9.596474,67.402916,35.48104,163.93912,305.3,15.734147,10.596812,155.7641,200.0,63.771267,58.858784,67.0,5.256019,76.7,61.0,0.0,2.85008,303.7,Equipment1,2018-03-13 00:30:00
62.093723,43.75143,57.15993,1.2304876,13.589379,6.637843,66.0,0.04238725,3.3231604,305.20486,65.237114,45.746548,76.6,285.3,163.51187,59.036808,62.047947,302.5,298.5,42.229343,53.4,4.6795526,113.1342,9.494744,61.5,9.664293,67.37621,35.40856,163.83612,305.4,15.869786,10.613768,156.3859,200.0,63.79797,58.8537,67.1,5.289929,76.8,61.1,0.0,2.85832,303.7,Equipment1,2018-03-13 00:31:00
62.093723,43.75143,57.154846,1.2304876,13.571984,6.6632757,66.0,0.04238725,3.3231604,304.84778,65.242195,45.571068,76.4,285.3,163.3402,59.031723,62.042862,302.4,298.4,42.271305,53.3,4.6795526,113.4432,9.325195,61.6,9.732113,67.35714,35.442894,163.89716,305.5,15.937606,10.545948,156.31723,200.0,63.759823,58.858784,67.0,5.289929,76.7,60.9,0.0,2.8656442,303.6,Equipment1,2018-03-13 00:32:00
62.08864,43.854427,57.134502,1.2314031,13.586633,6.646321,65.8,0.0339098,3.3231604,302.8336,65.22694,45.769436,76.6,285.2,163.49278,59.041893,62.047947,302.6,298.6,42.25986,53.3,4.6795526,112.88243,9.562564,61.4,9.6303835,67.37621,35.50393,163.9353,305.3,15.666327,10.46965,156.2066,200.0,63.79797,58.848614,67.1,5.3238387,76.9,61.1,0.0,2.8528268,303.8,Equipment1,2018-03-13 00:33:00
62.098812,43.797207,57.16502,1.2304876,13.49691,6.5700235,65.9,0.0339098,3.3231604,305.7908,65.242195,45.624474,76.3,285.6,163.33638,59.041893,62.053036,302.3,298.0,42.20264,53.7,4.7134624,113.374535,9.181078,61.5,9.528654,67.32281,35.53826,163.94293,305.3,15.530688,10.944388,155.95102,200.0,63.778896,58.858784,66.9,5.256019,76.4,60.7,0.0,2.8555734,303.4,Equipment1,2018-03-13 00:34:00
62.098812,43.83917,57.185364,1.2304876,13.550927,6.5869784,66.0,0.04238725,3.3231604,304.33508,65.25237,45.799953,76.3,285.3,163.04265,59.036808,62.05812,302.3,298.3,42.286564,53.4,4.6795526,113.9353,9.37606,61.6,9.766023,67.32281,35.400932,163.8056,305.4,15.869786,10.834181,156.32104,200.0,63.698788,58.863873,67.0,5.289929,76.6,60.8,0.0,2.8638132,303.5,Equipment1,2018-03-13 00:35:00
62.093723,43.896393,57.15993,1.2314031,13.634241,6.620888,66.0,0.0339098,3.2553408,303.08997,65.237114,45.777065,76.6,284.9,163.16472,59.036808,62.05812,302.6,298.7,42.305637,53.0,4.6456428,113.38598,9.655815,61.5,9.833842,67.345695,35.44671,163.8323,305.5,15.632418,10.384876,156.42023,200.0,63.77508,58.858784,67.2,5.3238387,77.0,61.3,0.0,2.8638132,303.9,Equipment1,2018-03-13 00:36:00
62.093723,43.827724,57.139587,1.2323186,13.604029,6.5615463,65.9,0.0339098,3.2892506,302.54062,65.232025,45.77325,76.7,285.1,163.56909,59.036808,62.053036,302.7,298.7,42.240788,53.2,4.6795526,112.32548,9.325195,61.4,9.664293,67.44106,35.469597,163.96582,305.4,15.632418,10.859613,155.75647,200.0,63.778896,58.848614,67.2,5.289929,77.0,61.2,0.0,2.8592355,303.9,Equipment1,2018-03-13 00:37:00
62.098812,43.854427,57.139587,1.2323186,13.576562,6.595456,65.9,0.0339098,3.3231604,302.86105,65.232025,45.624474,76.7,285.2,163.69116,59.036808,62.053036,302.7,298.6,42.198826,53.3,4.6456428,112.08896,9.986436,61.4,9.6303835,67.42962,35.56115,163.99634,305.3,15.700237,10.859613,155.37117,200.0,63.79797,58.8537,67.2,5.256019,76.9,61.2,0.0,2.854658,303.9,Equipment1,2018-03-13 00:38:00
62.098812,43.812466,57.139587,1.2314031,13.588464,6.5615463,66.0,0.0339098,3.2892506,304.4724,65.232025,45.624474,76.5,285.2,163.67209,59.041893,62.053036,302.5,298.6,42.19501,53.3,4.6456428,112.39414,9.816887,61.5,9.7999325,67.410545,35.557335,163.94675,305.4,15.598508,10.664632,155.6344,200.0,63.71786,58.8537,67.1,5.289929,76.9,61.1,0.0,2.8610666,303.8,Equipment1,2018-03-13 00:39:00
62.093723,43.804836,57.134502,1.2323186,13.582055,6.654798,65.9,0.0339098,3.2892506,303.5935,65.22694,45.75799,76.7,285.2,163.69879,59.036808,62.053036,302.7,298.6,42.198826,53.2,4.7134624,112.15381,9.901662,61.4,9.732113,67.360954,35.507744,163.98108,305.3,15.734147,10.698542,155.50089,200.0,63.77508,58.843525,67.2,5.289929,76.9,61.2,0.0,2.854658,303.9,Equipment1,2018-03-13 00:40:00
