Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,entity,timestamp
32.60796,27.99649,32.984352,1.1471733,0.15655756,0.11020685,Equipment1,2018-03-19 00:00:00
32.60796,27.99649,32.979263,1.1462578,0.15564202,0.09325195,Equipment1,2018-03-19 00:01:00
32.597786,27.99649,32.964005,1.1462578,0.15564202,0.1017294,Equipment1,2018-03-19 00:02:00
32.597786,27.99649,32.964005,1.1453422,0.15564202,0.09325195,Equipment1,2018-03-19 00:03:00
32.5927,27.99649,32.95892,1.1453422,0.15472648,0.11020685,Equipment1,2018-03-19 00:04:00
32.587612,27.99649,32.95892,1.1444266,0.15472648,0.11020685,Equipment1,2018-03-19 00:05:00
32.587612,27.99649,32.94366,1.1444266,0.15472648,0.11020685,Equipment1,2018-03-19 00:06:00
32.587612,27.99649,32.94366,1.1444266,0.15381095,0.09325195,Equipment1,2018-03-19 00:07:00
32.57744,27.99649,32.933487,1.143511,0.15381095,0.12716176,Equipment1,2018-03-19 00:08:00
32.56727,27.985046,32.933487,1.143511,0.1528954,0.11020685,Equipment1,2018-03-19 00:09:00
32.56727,27.99649,32.938572,1.1425955,0.15197986,0.11020685,Equipment1,2018-03-19 00:10:00
32.56727,27.99649,32.928402,1.1425955,0.15197986,0.1017294,Equipment1,2018-03-19 00:11:00
32.557095,27.99649,32.908054,1.14168,0.15197986,0.11020685,Equipment1,2018-03-19 00:12:00
32.55201,27.99649,32.91823,1.14168,0.15197986,0.1017294,Equipment1,2018-03-19 00:13:00
32.55201,27.99649,32.913143,1.14168,0.15106432,0.11020685,Equipment1,2018-03-19 00:14:00
32.55201,27.981232,32.90297,1.1407645,0.15106432,0.11020685,Equipment1,2018-03-19 00:15:00
32.541836,27.99649,32.892796,1.1407645,0.15106432,0.1017294,Equipment1,2018-03-19 00:16:00
32.541836,27.912565,32.89788,1.139849,0.15106432,0.1017294,Equipment1,2018-03-19 00:17:00
32.531662,27.985046,32.892796,1.139849,0.15014878,0.1017294,Equipment1,2018-03-19 00:18:00
32.526577,27.981232,32.88771,1.1389334,0.14923324,0.1017294,Equipment1,2018-03-19 00:19:00
32.526577,27.99649,32.877537,1.1389334,0.14923324,0.1186843,Equipment1,2018-03-19 00:20:00
32.52149,27.99649,32.877537,1.1389334,0.14923324,0.1017294,Equipment1,2018-03-19 00:21:00
32.51132,27.99649,32.867363,1.1380179,0.1483177,0.11020685,Equipment1,2018-03-19 00:22:00
32.501144,27.977417,32.867363,1.1380179,0.14740215,0.1017294,Equipment1,2018-03-19 00:23:00
32.501144,27.897306,32.862278,1.1371024,0.14740215,0.1017294,Equipment1,2018-03-19 00:24:00
32.501144,27.992676,32.857193,1.1371024,0.14648661,0.1017294,Equipment1,2018-03-19 00:25:00
32.501144,27.99649,32.857193,1.1361867,0.14648661,0.1017294,Equipment1,2018-03-19 00:26:00
32.49097,27.958344,32.852104,1.1361867,0.14557107,0.09325195,Equipment1,2018-03-19 00:27:00
32.49097,27.99649,32.84702,1.1361867,0.14557107,0.1186843,Equipment1,2018-03-19 00:28:00
32.47571,27.99649,32.836845,1.1352712,0.14557107,0.1017294,Equipment1,2018-03-19 00:29:00
32.47571,27.99649,32.83176,1.1352712,0.14557107,0.1017294,Equipment1,2018-03-19 00:30:00
32.47571,27.99649,32.83176,1.1343557,0.14557107,0.09325195,Equipment1,2018-03-19 00:31:00
32.465538,27.99649,32.821587,1.1343557,0.14465553,0.11020685,Equipment1,2018-03-19 00:32:00
32.465538,27.99649,32.821587,1.1343557,0.14465553,0.12716176,Equipment1,2018-03-19 00:33:00
32.460453,27.992676,32.811413,1.1334401,0.14465553,0.1186843,Equipment1,2018-03-19 00:34:00
32.455368,27.9469,32.8165,1.1334401,0.14373998,0.1017294,Equipment1,2018-03-19 00:35:00
32.45028,27.99649,32.811413,1.1334401,0.14373998,0.1017294,Equipment1,2018-03-19 00:36:00
32.45028,27.977417,32.801243,1.1325246,0.14282444,0.1017294,Equipment1,2018-03-19 00:37:00
32.44011,27.935453,32.796154,1.1325246,0.14282444,0.1017294,Equipment1,2018-03-19 00:38:00
32.44011,27.973602,32.796154,1.1325246,0.1419089,0.1017294,Equipment1,2018-03-19 00:39:00
32.43502,27.965973,32.780895,1.1316091,0.1419089,0.11020685,Equipment1,2018-03-19 00:40:00
32.429935,27.99649,32.780895,1.1316091,0.1419089,0.1017294,Equipment1,2018-03-19 00:41:00
32.429935,27.99649,32.77581,1.1306936,0.1419089,0.1186843,Equipment1,2018-03-19 00:42:00
32.42485,27.99649,32.77581,1.1306936,0.14099336,0.1017294,Equipment1,2018-03-19 00:43:00
32.41976,27.99649,32.77072,1.1306936,0.14099336,0.1017294,Equipment1,2018-03-19 00:44:00
32.414677,27.950714,32.765636,1.129778,0.14007781,0.1186843,Equipment1,2018-03-19 00:45:00
32.409588,27.904936,32.76055,1.129778,0.13916229,0.11020685,Equipment1,2018-03-19 00:46:00
32.404503,27.99649,32.755463,1.1288624,0.13916229,0.09325195,Equipment1,2018-03-19 00:47:00
32.39433,27.99649,32.750378,1.1288624,0.13916229,0.1186843,Equipment1,2018-03-19 00:48:00
32.39433,27.99649,32.750378,1.1288624,0.13824674,0.11020685,Equipment1,2018-03-19 00:49:00
32.389244,27.931639,32.745293,1.1279469,0.13824674,0.09325195,Equipment1,2018-03-19 00:50:00
32.38416,27.965973,32.73512,1.1279469,0.13824674,0.0847745,Equipment1,2018-03-19 00:51:00
32.38416,27.981232,32.73003,1.1279469,0.13824674,0.1017294,Equipment1,2018-03-19 00:52:00
32.37907,27.927824,32.73003,1.1270313,0.1373312,0.1186843,Equipment1,2018-03-19 00:53:00
32.37907,27.897306,32.73003,1.1270313,0.1373312,0.1017294,Equipment1,2018-03-19 00:54:00
32.373985,27.920195,32.71986,1.1270313,0.1373312,0.12716176,Equipment1,2018-03-19 00:55:00
32.373985,27.99649,32.71986,1.1261158,0.1373312,0.1017294,Equipment1,2018-03-19 00:56:00
32.3689,27.9469,32.71477,1.1261158,0.13641566,0.11020685,Equipment1,2018-03-19 00:57:00
32.3689,27.99649,32.709686,1.1261158,0.13641566,0.1017294,Equipment1,2018-03-19 00:58:00
32.358727,27.985046,32.709686,1.1252003,0.13641566,0.11020685,Equipment1,2018-03-19 00:59:00
32.353638,27.931639,32.699512,1.1252003,0.13550012,0.11020685,Equipment1,2018-03-19 01:00:00
32.348553,27.981232,32.694427,1.1252003,0.13550012,0.1186843,Equipment1,2018-03-19 01:01:00
32.348553,27.992676,32.689342,1.1252003,0.13458458,0.1017294,Equipment1,2018-03-19 01:02:00
32.33838,27.985046,32.67917,1.1242847,0.13458458,0.11020685,Equipment1,2018-03-19 01:03:00
32.33838,27.935453,32.67408,1.1242847,0.13458458,0.1017294,Equipment1,2018-03-19 01:04:00
32.32821,27.958344,32.67917,1.1242847,0.13458458,0.11020685,Equipment1,2018-03-19 01:05:00
32.318035,27.950714,32.67408,1.1233692,0.13366903,0.11020685,Equipment1,2018-03-19 01:06:00
32.32821,27.99649,32.67408,1.1233692,0.13366903,0.1017294,Equipment1,2018-03-19 01:07:00
32.31295,27.99649,32.66391,1.1233692,0.13366903,0.1017294,Equipment1,2018-03-19 01:08:00
32.318035,27.985046,32.668995,1.1224537,0.13366903,0.1017294,Equipment1,2018-03-19 01:09:00
32.31295,27.90875,32.65882,1.1224537,0.13275349,0.11020685,Equipment1,2018-03-19 01:10:00
32.30786,27.99649,32.65882,1.1224537,0.13275349,0.1017294,Equipment1,2018-03-19 01:11:00
32.302776,27.977417,32.653736,1.1224537,0.13275349,0.1017294,Equipment1,2018-03-19 01:12:00
32.297688,27.9469,32.64865,1.1215382,0.13275349,0.1186843,Equipment1,2018-03-19 01:13:00
32.297688,27.965973,32.638477,1.1215382,0.13275349,0.11020685,Equipment1,2018-03-19 01:14:00
32.292603,27.962158,32.63339,1.1215382,0.13183795,0.11020685,Equipment1,2018-03-19 01:15:00
32.28243,27.912565,32.62322,1.1215382,0.13183795,0.11020685,Equipment1,2018-03-19 01:16:00
32.28243,27.99649,32.61813,1.1206225,0.1309224,0.1186843,Equipment1,2018-03-19 01:17:00
32.28243,27.99649,32.62322,1.1206225,0.1309224,0.11020685,Equipment1,2018-03-19 01:18:00
32.277344,27.99649,32.62322,1.1206225,0.1309224,0.09325195,Equipment1,2018-03-19 01:19:00
32.26717,27.981232,32.61813,1.1206225,0.13000686,0.1017294,Equipment1,2018-03-19 01:20:00
32.26717,27.988861,32.60796,1.1206225,0.1309224,0.1017294,Equipment1,2018-03-19 01:21:00
32.26717,27.897306,32.60287,1.119707,0.13000686,0.1017294,Equipment1,2018-03-19 01:22:00
32.262085,27.897306,32.60287,1.119707,0.13000686,0.1186843,Equipment1,2018-03-19 01:23:00
32.262085,27.897306,32.5927,1.119707,0.13000686,0.11020685,Equipment1,2018-03-19 01:24:00
32.256996,27.92401,32.5927,1.119707,0.13000686,0.11020685,Equipment1,2018-03-19 01:25:00
32.246826,27.99649,32.582527,1.119707,0.12909132,0.11020685,Equipment1,2018-03-19 01:26:00
32.246826,27.973602,32.582527,1.1187915,0.12909132,0.1186843,Equipment1,2018-03-19 01:27:00
32.236652,27.99649,32.57744,1.1187915,0.12909132,0.09325195,Equipment1,2018-03-19 01:28:00
32.236652,27.99649,32.57744,1.1187915,0.13000686,0.1017294,Equipment1,2018-03-19 01:29:00
32.231567,27.981232,32.572353,1.1187915,0.12909132,0.1017294,Equipment1,2018-03-19 01:30:00
32.22648,27.977417,32.56727,1.1187915,0.12909132,0.11020685,Equipment1,2018-03-19 01:31:00
32.22648,27.981232,32.56218,1.1187915,0.12909132,0.11020685,Equipment1,2018-03-19 01:32:00
32.221394,27.99649,32.56218,1.1187915,0.12909132,0.1017294,Equipment1,2018-03-19 01:33:00
32.21122,27.931639,32.56218,1.1178759,0.12909132,0.11020685,Equipment1,2018-03-19 01:34:00
32.21631,27.973602,32.55201,1.1178759,0.12817578,0.1017294,Equipment1,2018-03-19 01:35:00
32.21631,27.901121,32.54692,1.1178759,0.12909132,0.11020685,Equipment1,2018-03-19 01:36:00
32.206135,27.954529,32.54692,1.1178759,0.12817578,0.1017294,Equipment1,2018-03-19 01:37:00
32.206135,27.901121,32.541836,1.1178759,0.12817578,0.09325195,Equipment1,2018-03-19 01:38:00
32.201046,27.965973,32.541836,1.1178759,0.12817578,0.11020685,Equipment1,2018-03-19 01:39:00
32.201046,27.988861,32.53675,1.1169604,0.12817578,0.09325195,Equipment1,2018-03-19 01:40:00
32.190876,27.901121,32.531662,1.1169604,0.12817578,0.11020685,Equipment1,2018-03-19 01:41:00
32.190876,27.897306,32.526577,1.1169604,0.12726024,0.11020685,Equipment1,2018-03-19 01:42:00
32.175617,27.931639,32.526577,1.1169604,0.12726024,0.1186843,Equipment1,2018-03-19 01:43:00
32.185787,28.023193,32.52149,1.1169604,0.12726024,0.11020685,Equipment1,2018-03-19 01:44:00
32.17053,27.992676,32.52149,1.1169604,0.12726024,0.09325195,Equipment1,2018-03-19 01:45:00
32.165443,27.992676,32.516403,1.1169604,0.12726024,0.11020685,Equipment1,2018-03-19 01:46:00
32.17053,27.981232,32.50623,1.1160449,0.12726024,0.1017294,Equipment1,2018-03-19 01:47:00
32.165443,28.019379,32.50623,1.1160449,0.12726024,0.1017294,Equipment1,2018-03-19 01:48:00
32.16036,28.01175,32.51132,1.1160449,0.1263447,0.11020685,Equipment1,2018-03-19 01:49:00
32.16036,27.950714,32.501144,1.1160449,0.1263447,0.11020685,Equipment1,2018-03-19 01:50:00
32.15527,28.015564,32.49606,1.1160449,0.1263447,0.1017294,Equipment1,2018-03-19 01:51:00
32.150185,27.973602,32.49097,1.1160449,0.1263447,0.11020685,Equipment1,2018-03-19 01:52:00
32.145096,28.030823,32.49097,1.1160449,0.1263447,0.1017294,Equipment1,2018-03-19 01:53:00
32.145096,28.000305,32.485886,1.1151294,0.1263447,0.11020685,Equipment1,2018-03-19 01:54:00
32.134926,27.920195,32.47571,1.1151294,0.12542915,0.1186843,Equipment1,2018-03-19 01:55:00
32.134926,28.046082,32.4808,1.1151294,0.1263447,0.1017294,Equipment1,2018-03-19 01:56:00
32.129837,27.985046,32.470627,1.1151294,0.12542915,0.11020685,Equipment1,2018-03-19 01:57:00
32.124752,28.023193,32.470627,1.1151294,0.12542915,0.1017294,Equipment1,2018-03-19 01:58:00
32.129837,28.01175,32.465538,1.1151294,0.12542915,0.1186843,Equipment1,2018-03-19 01:59:00
32.11458,27.969788,32.455368,1.1142138,0.12542915,0.1017294,Equipment1,2018-03-19 02:00:00
32.119667,28.023193,32.455368,1.1142138,0.12542915,0.1017294,Equipment1,2018-03-19 02:01:00
32.11458,28.038452,32.455368,1.1142138,0.12451362,0.11020685,Equipment1,2018-03-19 02:02:00
32.109493,27.977417,32.45028,1.1142138,0.12451362,0.1186843,Equipment1,2018-03-19 02:03:00
32.10441,28.049896,32.44011,1.1142138,0.12451362,0.1017294,Equipment1,2018-03-19 02:04:00
32.10441,28.065157,32.43502,1.1142138,0.12451362,0.12716176,Equipment1,2018-03-19 02:05:00
32.09932,28.057526,32.43502,1.1132983,0.12451362,0.1017294,Equipment1,2018-03-19 02:06:00
32.094234,28.068972,32.429935,1.1132983,0.12451362,0.09325195,Equipment1,2018-03-19 02:07:00
32.094234,27.973602,32.42485,1.1132983,0.12451362,0.1017294,Equipment1,2018-03-19 02:08:00
32.089146,28.09186,32.42485,1.1132983,0.12451362,0.1017294,Equipment1,2018-03-19 02:09:00
32.089146,28.038452,32.41976,1.1132983,0.12451362,0.0847745,Equipment1,2018-03-19 02:10:00
32.08406,28.049896,32.409588,1.1123827,0.12451362,0.1186843,Equipment1,2018-03-19 02:11:00
32.08406,28.06134,32.404503,1.1123827,0.12359808,0.09325195,Equipment1,2018-03-19 02:12:00
32.073887,27.985046,32.409588,1.1123827,0.12359808,0.1186843,Equipment1,2018-03-19 02:13:00
32.073887,28.030823,32.404503,1.1123827,0.122682534,0.1017294,Equipment1,2018-03-19 02:14:00
32.0688,28.06134,32.404503,1.1123827,0.122682534,0.1017294,Equipment1,2018-03-19 02:15:00
32.063717,28.072786,32.399418,1.1123827,0.122682534,0.09325195,Equipment1,2018-03-19 02:16:00
32.063717,28.057526,32.399418,1.1114671,0.122682534,0.11020685,Equipment1,2018-03-19 02:17:00
32.053543,28.095675,32.39433,1.1114671,0.122682534,0.1186843,Equipment1,2018-03-19 02:18:00
32.053543,28.080416,32.389244,1.1114671,0.12176699,0.1186843,Equipment1,2018-03-19 02:19:00
32.04846,27.99649,32.38416,1.1114671,0.12176699,0.09325195,Equipment1,2018-03-19 02:20:00
32.04337,28.030823,32.38416,1.1114671,0.12176699,0.11020685,Equipment1,2018-03-19 02:21:00
32.033195,28.09949,32.373985,1.1114671,0.122682534,0.11020685,Equipment1,2018-03-19 02:22:00
32.033195,28.046082,32.3689,1.1114671,0.122682534,0.0847745,Equipment1,2018-03-19 02:23:00
32.02811,28.09949,32.3689,1.1105516,0.12176699,0.1017294,Equipment1,2018-03-19 02:24:00
32.023026,28.09949,32.358727,1.1105516,0.12176699,0.11020685,Equipment1,2018-03-19 02:25:00
32.02811,28.09949,32.358727,1.1105516,0.12176699,0.12716176,Equipment1,2018-03-19 02:26:00
32.023026,28.09949,32.353638,1.1105516,0.12085146,0.11020685,Equipment1,2018-03-19 02:27:00
32.017937,28.038452,32.353638,1.1105516,0.12085146,0.1017294,Equipment1,2018-03-19 02:28:00
32.01285,28.00412,32.353638,1.1105516,0.12085146,0.11020685,Equipment1,2018-03-19 02:29:00
32.007767,28.049896,32.353638,1.1096361,0.12085146,0.1017294,Equipment1,2018-03-19 02:30:00
32.007767,28.09949,32.343468,1.1096361,0.12085146,0.11020685,Equipment1,2018-03-19 02:31:00
32.007767,28.007935,32.33838,1.1096361,0.119935915,0.1017294,Equipment1,2018-03-19 02:32:00
31.997593,28.09949,32.333294,1.1096361,0.12085146,0.1186843,Equipment1,2018-03-19 02:33:00
31.992506,28.09949,32.32821,1.1096361,0.119935915,0.11020685,Equipment1,2018-03-19 02:34:00
31.98742,28.034637,32.32821,1.1096361,0.119935915,0.1017294,Equipment1,2018-03-19 02:35:00
31.977247,28.09949,32.32312,1.1087205,0.119935915,0.11020685,Equipment1,2018-03-19 02:36:00
31.977247,28.065157,32.32312,1.1087205,0.119935915,0.11020685,Equipment1,2018-03-19 02:37:00
31.97216,28.01175,32.318035,1.1087205,0.119935915,0.1017294,Equipment1,2018-03-19 02:38:00
31.977247,28.06134,32.31295,1.1087205,0.119935915,0.1017294,Equipment1,2018-03-19 02:39:00
31.97216,28.09949,32.297688,1.1087205,0.119935915,0.1017294,Equipment1,2018-03-19 02:40:00
31.967073,28.09949,32.30786,1.1087205,0.119935915,0.1017294,Equipment1,2018-03-19 02:41:00
31.961988,28.068972,32.297688,1.1087205,0.11902037,0.0847745,Equipment1,2018-03-19 02:42:00
31.956902,28.027008,32.292603,1.107805,0.11902037,0.11020685,Equipment1,2018-03-19 02:43:00
31.956902,28.08423,32.287518,1.107805,0.11902037,0.1017294,Equipment1,2018-03-19 02:44:00
31.956902,28.09949,32.28243,1.107805,0.11902037,0.11020685,Equipment1,2018-03-19 02:45:00
31.951815,28.103304,32.277344,1.107805,0.11902037,0.1017294,Equipment1,2018-03-19 02:46:00
31.946728,28.103304,32.28243,1.107805,0.11810483,0.11020685,Equipment1,2018-03-19 02:47:00
31.941643,28.122377,32.277344,1.107805,0.11810483,0.1017294,Equipment1,2018-03-19 02:48:00
31.941643,28.160524,32.26717,1.107805,0.11810483,0.11020685,Equipment1,2018-03-19 02:49:00
31.931469,28.145266,32.26717,1.1068895,0.11810483,0.1017294,Equipment1,2018-03-19 02:50:00
31.931469,28.133821,32.262085,1.1068895,0.11810483,0.11020685,Equipment1,2018-03-19 02:51:00
31.931469,28.14908,32.256996,1.1068895,0.11810483,0.11020685,Equipment1,2018-03-19 02:52:00
31.921297,28.179598,32.256996,1.1068895,0.11810483,0.1017294,Equipment1,2018-03-19 02:53:00
31.921297,28.14908,32.256996,1.1068895,0.11810483,0.11020685,Equipment1,2018-03-19 02:54:00
31.921297,28.198673,32.25191,1.1068895,0.11718929,0.1186843,Equipment1,2018-03-19 02:55:00
31.91621,28.198673,32.246826,1.1068895,0.11718929,0.1017294,Equipment1,2018-03-19 02:56:00
31.91621,28.198673,32.241737,1.1068895,0.11810483,0.1017294,Equipment1,2018-03-19 02:57:00
31.906038,28.171968,32.241737,1.105974,0.11810483,0.11020685,Equipment1,2018-03-19 02:58:00
31.906038,28.198673,32.231567,1.105974,0.11718929,0.1186843,Equipment1,2018-03-19 02:59:00
31.900951,28.198673,32.22648,1.105974,0.11718929,0.1017294,Equipment1,2018-03-19 03:00:00
31.906038,28.198673,32.231567,1.105974,0.11718929,0.09325195,Equipment1,2018-03-19 03:01:00
31.890778,28.198673,32.21631,1.105974,0.116273746,0.11020685,Equipment1,2018-03-19 03:02:00
31.890778,28.14908,32.21631,1.105974,0.116273746,0.1017294,Equipment1,2018-03-19 03:03:00
31.890778,28.198673,32.21631,1.1050583,0.116273746,0.1017294,Equipment1,2018-03-19 03:04:00
31.890778,28.198673,32.221394,1.1050583,0.116273746,0.09325195,Equipment1,2018-03-19 03:05:00
31.880606,28.171968,32.21122,1.1050583,0.116273746,0.11020685,Equipment1,2018-03-19 03:06:00
31.885693,28.191044,32.21122,1.1050583,0.1153582,0.1017294,Equipment1,2018-03-19 03:07:00
31.875519,28.198673,32.21122,1.1050583,0.1153582,0.1186843,Equipment1,2018-03-19 03:08:00
31.870432,28.175783,32.19596,1.1050583,0.1153582,0.11020685,Equipment1,2018-03-19 03:09:00
31.865347,28.206303,32.201046,1.1041428,0.1153582,0.1017294,Equipment1,2018-03-19 03:10:00
31.865347,28.225376,32.201046,1.1041428,0.1153582,0.1186843,Equipment1,2018-03-19 03:11:00
31.86026,28.210117,32.190876,1.1041428,0.1153582,0.1186843,Equipment1,2018-03-19 03:12:00
31.86026,28.221561,32.190876,1.1032273,0.1153582,0.09325195,Equipment1,2018-03-19 03:13:00
31.86026,28.179598,32.180702,1.1032273,0.1153582,0.1017294,Equipment1,2018-03-19 03:14:00
31.855173,28.248264,32.180702,1.1041428,0.1153582,0.1017294,Equipment1,2018-03-19 03:15:00
31.824656,28.271152,32.089146,1.1032273,0.1153582,0.12716176,Equipment1,2018-03-19 03:16:00
31.600855,28.286411,31.824656,1.1032273,0.11444266,0.1186843,Equipment1,2018-03-19 03:17:00
31.539818,28.255894,31.74836,1.1032273,0.11444266,0.1186843,Equipment1,2018-03-19 03:18:00
